Ride_ID,Trip_Distance_km,Est_Duration_min,Time_of_Day,Traffic_Level,Weather_Condition,Demand_Level,Vehicle_Type,Pickup_Location_Type,Dropoff_Location_Type,Is_Holiday,Passenger_Count,Booking_Lead_Time_min,Route_Complexity_Score,Nearby_Major_Event,Toll_Fees,Surge_Multiplier,Fuel_Price_Index,Final_Ride_Price
RIDE_000023,5.11,25.3,19:47,High,Clear,High,Economy,Airport,Airport,False,1,5,6,False,4.9,1.58,0.887,47.25
RIDE_000024,7.23,42.8,19:58,High,Clear,High,Premium,Airport,Airport,False,1,11,5,False,5.28,2.47,1.125,137.62
RIDE_000025,6.63,29.2,13:12,Medium,Clear,Normal,Economy,City_Center,City_Center,False,1,6,9,False,0.0,1.19,0.883,29.47
RIDE_000026,6.61,30.8,21:38,High,Clear,Normal,Economy,Airport,Transport_Hub,False,2,21,7,False,6.48,1.48,1.0,59.64
RIDE_000027,8.92,40.7,05:57,High,Clear,Low,SUV,City_Center,Suburb,False,1,17,6,False,0.0,1.0,1.248,50.83
RIDE_000028,5.13,30.5,02:15,High,Rain,Low,Economy,City_Center,Transport_Hub,False,1,3,7,False,1.69,1.29,1.244,45.15
RIDE_000029,7.53,35.7,19:12,High,Rain,Normal,SUV,Suburb,City_Center,False,2,37,7,False,0.0,1.51,1.042,56.87
RIDE_000030,12.19,34.4,16:12,Low,Clear,Normal,Economy,Airport,Transport_Hub,False,6,85,5,False,6.36,1.19,0.946,56.68
RIDE_000031,4.41,15.4,00:50,Low,Clear,Normal,Premium,Airport,Suburb,False,2,11,6,False,3.85,1.48,0.885,39.51
RIDE_000032,7.8,44.5,22:14,High,Rain,High,SUV,Suburb,City_Center,False,2,7,8,True,0.0,3.0,1.195,146.81
RIDE_000033,12.03,58.8,03:09,High,Snow,Normal,Economy,Transport_Hub,Airport,False,1,13,3,True,2.77,1.69,0.923,83.79
RIDE_000034,9.17,52.6,17:57,High,Clear,High,Economy,City_Center,City_Center,True,1,9,7,False,0.0,1.54,1.17,78.48
RIDE_000035,5.44,25.0,14:55,High,Snow,Normal,Economy,Suburb,Airport,False,5,11,6,False,0.0,1.52,0.951,34.92
RIDE_000036,8.45,34.5,14:59,Medium,Clear,Normal,Economy,City_Center,Airport,False,2,27,7,False,0.0,1.34,1.166,52.22
RIDE_000037,7.42,31.7,14:35,Medium,Clear,Normal,Economy,Airport,Airport,False,3,14,3,False,7.92,1.12,0.891,43.31
RIDE_000038,4.97,18.3,10:29,Medium,Clear,Normal,Economy,City_Center,Transport_Hub,False,3,12,8,False,0.0,1.36,1.178,32.21
RIDE_000039,4.54,17.2,10:07,Medium,Clear,Low,Accessible,Suburb,Transport_Hub,False,1,1,2,False,0.0,1.0,1.042,20.23
RIDE_000040,4.48,26.8,09:04,High,Clear,Normal,Economy,Suburb,Airport,False,1,1,7,False,0.0,1.43,1.148,38.78
RIDE_000041,6.49,19.7,20:55,Low,Fog,High,SUV,Suburb,Transport_Hub,False,1,23,6,False,0.0,2.17,1.059,61.09
RIDE_000042,9.71,49.2,07:07,High,Clear,High,Economy,City_Center,Suburb,False,2,6,7,False,0.0,1.93,0.983,80.94
RIDE_000043,5.34,29.0,09:51,High,Rain,High,Economy,Suburb,Transport_Hub,False,3,18,3,False,0.0,2.49,0.891,57.71
RIDE_000044,1.85,9.8,19:55,High,Clear,Normal,Economy,City_Center,Airport,False,2,17,9,False,2.8,1.45,1.083,21.95
RIDE_000045,8.86,36.6,14:25,Medium,Snow,Low,Economy,Suburb,Suburb,False,2,1,4,False,0.0,1.22,1.093,46.79
RIDE_000046,13.41,48.1,21:10,Low,Clear,Normal,SUV,Airport,Airport,False,1,3,7,False,2.33,1.4,0.852,69.77
RIDE_000047,4.83,28.4,19:24,High,Snow,High,Economy,City_Center,Suburb,False,1,9,8,False,2.73,2.83,1.082,84.74
RIDE_000048,3.65,13.1,16:19,Low,Clear,Normal,Economy,Suburb,Airport,False,1,24,6,False,0.0,1.42,1.085,23.92
RIDE_000049,8.2,43.5,18:46,High,Clear,High,Economy,City_Center,Suburb,False,1,29,8,False,0.0,2.3,1.242,107.27
RIDE_000050,11.4,44.5,22:58,Medium,Clear,Normal,Premium,Suburb,Transport_Hub,False,1,4,6,False,6.84,1.47,0.906,70.84
RIDE_000051,1.92,8.2,22:47,Medium,Clear,Normal,SUV,Airport,Suburb,False,1,33,7,False,4.02,1.18,0.864,23.45
RIDE_000052,4.93,23.8,08:33,High,Snow,High,Accessible,Suburb,Airport,False,2,33,1,False,0.0,2.46,0.906,51.92
RIDE_000053,10.39,30.6,03:25,Low,Clear,Low,Economy,Transport_Hub,Airport,False,2,1,5,False,6.98,1.0,0.854,35.33
RIDE_000054,7.21,36.8,20:06,High,Clear,Normal,Premium,City_Center,City_Center,False,2,1,9,False,0.0,1.18,1.138,48.63
RIDE_000055,10.23,45.5,02:53,Medium,Clear,Low,Premium,City_Center,Transport_Hub,False,1,27,6,False,5.58,1.0,1.158,58.68
RIDE_000056,6.22,35.6,09:24,High,Clear,High,Premium,Suburb,City_Center,True,1,5,8,False,0.0,2.02,0.885,61.01
RIDE_000057,14.46,81.5,18:07,High,Clear,Normal,Premium,Suburb,Transport_Hub,False,2,3,2,True,6.02,1.94,1.072,156.93
RIDE_000058,2.16,6.7,06:08,Low,Clear,Low,Premium,Suburb,Transport_Hub,False,1,26,1,False,2.09,1.0,0.881,13.81
RIDE_000059,5.47,25.2,07:25,High,Rain,High,Economy,City_Center,Airport,False,2,11,10,False,0.0,2.74,0.924,61.53
RIDE_000060,8.71,23.8,13:51,Low,Clear,Low,Economy,Suburb,Transport_Hub,False,3,8,7,False,0.0,1.0,0.992,28.24
RIDE_000061,5.79,15.7,03:17,Low,Clear,Normal,Accessible,City_Center,Airport,False,1,46,10,False,0.0,1.44,1.09,32.23
RIDE_000062,6.02,21.9,21:52,Medium,Rain,Normal,Economy,Airport,City_Center,False,1,0,6,False,5.58,1.36,1.046,48.45
RIDE_000063,6.51,27.8,02:31,Medium,Clear,High,Economy,Suburb,Airport,True,3,4,4,False,0.0,2.31,1.112,69.78
RIDE_000064,4.01,16.2,14:37,Medium,Clear,Normal,Economy,City_Center,Airport,False,6,0,10,False,0.0,1.33,1.068,25.02
RIDE_000065,6.68,32.5,00:05,High,Clear,Normal,Economy,City_Center,Airport,False,2,17,8,False,0.0,1.23,1.202,44.01
RIDE_000066,7.12,26.9,01:13,Medium,Rain,Low,Economy,City_Center,Airport,False,1,15,10,False,0.0,1.19,1.186,39.0
RIDE_000067,5.85,27.8,14:29,High,Rain,High,Premium,Transport_Hub,Transport_Hub,False,1,13,1,True,0.0,3.0,0.902,80.3
RIDE_000068,13.25,61.7,01:45,High,Clear,Normal,SUV,City_Center,Airport,False,1,1,9,False,3.64,1.08,1.023,67.8
RIDE_000069,6.12,23.5,15:36,Medium,Clear,Normal,Accessible,City_Center,Transport_Hub,False,2,3,6,False,0.0,1.27,0.914,28.94
RIDE_000070,5.83,25.8,06:02,Medium,Rain,Normal,Accessible,City_Center,Suburb,False,1,2,9,False,2.68,1.26,0.958,34.19
RIDE_000071,3.32,14.0,10:12,Medium,Clear,Normal,Economy,Transport_Hub,City_Center,False,2,29,6,True,2.44,1.44,0.857,22.11
RIDE_000072,2.82,13.0,07:31,High,Snow,High,Economy,Suburb,City_Center,True,1,7,7,False,0.0,1.93,0.892,24.5
RIDE_000073,6.05,27.7,02:58,High,Clear,Low,Economy,Suburb,Transport_Hub,False,2,22,7,False,1.24,1.0,1.089,30.13
RIDE_000074,6.01,27.6,09:13,High,Clear,Normal,Economy,City_Center,Airport,False,1,9,10,False,0.0,1.08,0.858,24.38
RIDE_000075,12.88,35.7,04:31,Low,Clear,High,Economy,City_Center,City_Center,True,1,9,10,False,6.46,1.85,0.998,87.02
RIDE_000076,7.1,41.5,20:33,High,Clear,Normal,Economy,City_Center,Suburb,False,1,7,7,False,0.0,1.2,1.091,45.69
RIDE_000077,10.54,38.6,13:13,Medium,Clear,High,Economy,Airport,Airport,False,2,6,2,True,5.91,2.77,0.854,117.14
RIDE_000078,14.13,73.0,22:46,High,Clear,Low,Economy,City_Center,Transport_Hub,False,1,4,8,False,3.52,1.0,1.002,64.84
RIDE_000079,13.1,55.5,14:36,Medium,Clear,Low,Economy,Suburb,City_Center,False,1,4,7,False,3.39,1.0,1.106,60.04
RIDE_000080,4.54,18.0,00:48,Medium,Clear,Low,Economy,Suburb,City_Center,False,2,30,8,False,3.0,1.0,0.903,20.15
RIDE_000081,4.77,22.6,17:41,High,Rain,High,Economy,Suburb,Airport,False,3,2,2,False,0.0,2.44,1.198,64.18
RIDE_000082,5.0,21.0,13:03,Medium,Rain,Normal,Economy,Suburb,City_Center,False,1,13,6,False,0.0,1.6,1.201,41.31
RIDE_000083,6.56,37.0,13:03,High,Rain,Normal,Premium,City_Center,Suburb,False,1,15,10,False,0.0,1.44,1.089,55.42
RIDE_000084,1.94,8.3,10:34,Medium,Clear,High,Economy,City_Center,Transport_Hub,False,2,0,7,True,1.45,2.81,1.156,39.01
RIDE_000085,14.44,65.4,17:43,High,Fog,High,Economy,Airport,Suburb,True,4,15,3,True,7.61,2.16,0.953,145.06
RIDE_000086,3.71,15.7,02:07,Medium,Clear,Low,Economy,City_Center,Airport,False,1,29,10,False,0.0,1.0,0.953,16.12
RIDE_000087,3.48,15.9,03:53,High,Rain,Low,Premium,Transport_Hub,Suburb,False,2,13,2,False,0.0,1.28,1.158,29.9
RIDE_000088,2.6,14.9,23:18,High,Snow,Low,Premium,Airport,Suburb,False,1,20,2,False,5.21,1.16,0.942,31.21
RIDE_000089,7.65,27.9,10:09,Medium,Clear,High,Economy,City_Center,Suburb,False,1,8,6,False,3.97,2.1,0.985,68.04
RIDE_000090,6.9,20.9,04:32,Low,Clear,Normal,Economy,Suburb,Airport,False,1,24,3,False,1.81,1.27,0.98,32.5
RIDE_000091,7.2,29.5,05:01,Medium,Fog,Low,Premium,City_Center,Transport_Hub,False,1,48,10,False,1.6,1.0,1.019,34.8
RIDE_000092,1.76,9.9,18:39,High,Clear,High,Premium,City_Center,City_Center,False,2,1,6,False,2.52,1.54,0.971,25.59
RIDE_000093,4.86,25.9,01:40,High,Clear,Low,Economy,City_Center,Suburb,False,3,2,8,False,2.7,1.0,1.222,32.31
RIDE_000094,6.61,37.6,23:41,High,Snow,High,Economy,Airport,Airport,True,1,3,6,False,5.85,2.08,1.219,109.19
RIDE_000095,6.02,24.4,13:15,Medium,Rain,High,Economy,Airport,Airport,False,2,10,7,False,5.3,2.25,1.052,82.92
RIDE_000096,3.82,14.0,10:01,Medium,Rain,Low,Premium,City_Center,City_Center,False,3,14,6,False,0.0,1.16,0.89,20.37
RIDE_000097,5.88,17.1,00:03,Low,Clear,Low,Economy,City_Center,Transport_Hub,False,1,2,9,False,0.0,1.0,1.016,21.2
RIDE_000098,8.3,28.3,22:01,Low,Clear,Normal,Premium,Suburb,Transport_Hub,False,1,0,2,False,0.0,1.24,0.894,37.25
RIDE_000099,9.22,25.9,20:51,Low,Clear,Low,SUV,City_Center,City_Center,False,1,7,7,False,0.0,1.0,1.113,37.6
RIDE_000100,5.71,29.9,07:20,High,Rain,High,Economy,City_Center,Airport,False,1,10,8,True,0.0,2.44,0.879,57.94
RIDE_000101,5.19,20.3,23:16,Medium,Fog,Normal,Economy,City_Center,Suburb,False,3,6,7,True,2.98,1.48,1.056,38.16
RIDE_000102,6.92,31.2,08:01,High,Rain,High,Economy,City_Center,Airport,False,2,0,7,False,0.0,2.56,1.149,86.71
RIDE_000103,7.18,23.3,01:10,Low,Clear,Low,Economy,City_Center,City_Center,False,2,42,9,False,0.0,1.0,1.247,32.32
RIDE_000104,3.27,12.4,11:40,Medium,Clear,Low,Accessible,Suburb,City_Center,False,2,2,8,False,0.0,1.0,0.903,13.64
RIDE_000105,10.97,51.8,17:30,High,Clear,High,Economy,City_Center,Airport,False,2,5,8,False,2.56,2.38,1.024,117.99
RIDE_000106,7.04,26.6,11:04,Medium,Snow,Normal,SUV,Suburb,Airport,False,2,14,3,False,0.0,1.26,0.864,33.6
RIDE_000107,3.29,12.8,13:56,Medium,Fog,Low,Economy,City_Center,Transport_Hub,False,1,7,9,False,0.0,1.0,1.115,16.54
RIDE_000108,5.09,18.8,06:03,Medium,Clear,Normal,Economy,Suburb,Transport_Hub,False,2,24,7,True,0.0,1.34,1.164,32.03
RIDE_000109,3.33,10.0,03:18,Low,Clear,High,Economy,Airport,Transport_Hub,True,3,21,1,False,5.86,2.14,1.164,60.67
RIDE_000110,5.63,21.2,10:38,Medium,Clear,Normal,Economy,City_Center,Airport,False,2,13,6,False,0.0,1.21,1.199,32.71
RIDE_000111,3.77,19.7,04:19,High,Rain,Normal,Economy,Airport,Suburb,False,4,22,4,False,2.95,1.33,1.113,39.9
RIDE_000112,6.01,23.1,02:54,Medium,Snow,High,Premium,City_Center,Airport,False,1,28,8,True,0.0,2.79,0.945,72.68
RIDE_000113,5.7,22.5,10:19,Medium,Clear,Normal,SUV,Suburb,City_Center,False,5,4,8,False,0.0,1.49,1.093,43.65
RIDE_000114,4.1,16.8,03:41,Medium,Clear,Low,Accessible,City_Center,Transport_Hub,False,1,18,6,False,0.0,1.0,0.916,16.99
RIDE_000115,5.37,27.5,15:56,High,Rain,High,Premium,City_Center,Transport_Hub,False,1,6,8,True,3.36,3.0,1.152,111.16
RIDE_000116,3.74,21.2,08:39,High,Fog,High,Economy,Airport,City_Center,False,1,7,8,True,5.94,2.69,1.236,101.91
RIDE_000117,7.98,45.4,09:07,High,Clear,Normal,Premium,Suburb,Suburb,False,1,34,2,False,3.09,1.31,0.995,58.34
RIDE_000118,19.7,112.9,07:36,High,Rain,High,Economy,Suburb,City_Center,True,3,24,6,False,7.9,2.42,1.203,283.56
RIDE_000119,6.95,25.2,22:26,Medium,Rain,Low,SUV,City_Center,City_Center,False,1,29,9,False,1.33,1.19,1.179,43.99
RIDE_000120,1.97,6.6,02:11,Low,Clear,Normal,SUV,Airport,Airport,False,4,20,2,False,5.91,1.18,1.187,33.85
RIDE_000121,4.58,15.2,14:26,Low,Clear,Normal,Economy,Suburb,Transport_Hub,False,1,15,1,False,0.0,1.43,0.936,24.05
RIDE_000122,4.62,22.4,20:45,High,Rain,Normal,SUV,Airport,Suburb,False,4,16,7,False,4.34,1.31,0.902,40.73
RIDE_000123,5.73,19.3,13:58,Low,Clear,Normal,SUV,City_Center,Transport_Hub,False,5,26,8,False,0.0,1.28,1.101,35.58
RIDE_000124,17.22,50.6,23:37,Low,Clear,Low,Economy,Suburb,Transport_Hub,False,2,5,3,False,5.59,1.0,1.201,72.32
RIDE_000125,8.27,30.4,13:21,Medium,Snow,Normal,Economy,Suburb,City_Center,False,1,23,10,False,1.19,1.55,1.06,53.06
RIDE_000126,3.45,20.4,19:28,High,Clear,High,Economy,Suburb,Suburb,False,2,1,6,False,3.91,2.1,1.147,54.88
RIDE_000127,5.98,18.1,22:37,Low,Clear,Normal,Economy,Airport,Transport_Hub,False,2,8,5,False,3.18,1.14,0.933,31.59
RIDE_000128,5.69,28.0,07:42,High,Rain,Normal,Economy,City_Center,Transport_Hub,False,1,40,6,False,0.0,1.41,1.2,44.05
RIDE_000129,6.36,18.7,10:45,Low,Fog,High,Economy,City_Center,Transport_Hub,False,2,4,10,False,0.0,2.22,1.195,59.4
RIDE_000130,5.19,16.0,00:35,Low,Clear,Low,Premium,Airport,City_Center,False,2,7,10,False,4.17,1.0,0.854,27.29
RIDE_000131,8.44,47.1,21:08,High,Clear,Low,Economy,Transport_Hub,City_Center,False,6,25,6,False,0.0,1.0,1.01,40.11
RIDE_000132,5.78,29.5,05:27,High,Clear,Low,Economy,City_Center,City_Center,False,1,24,8,False,0.0,1.0,0.978,26.33
RIDE_000133,2.8,11.4,21:35,Medium,Clear,Normal,Economy,Suburb,Airport,False,1,2,5,False,0.0,1.04,1.014,14.13
RIDE_000134,10.84,56.2,01:47,High,Clear,Low,Premium,Airport,Airport,False,5,11,5,False,2.23,1.0,1.005,58.88
RIDE_000135,3.33,17.3,17:05,High,Rain,Normal,Economy,Transport_Hub,Airport,False,1,9,6,False,0.0,1.47,0.862,21.73
RIDE_000136,6.27,24.6,12:21,Medium,Clear,High,SUV,Suburb,City_Center,True,1,4,9,False,0.0,1.64,1.028,48.39
RIDE_000137,7.74,34.0,10:35,Medium,Clear,Low,Premium,Suburb,City_Center,False,2,2,10,False,0.0,1.0,1.087,38.71
RIDE_000138,2.5,11.5,21:20,High,Rain,Normal,Premium,City_Center,City_Center,False,1,9,9,False,0.0,1.5,1.075,26.61
RIDE_000139,11.0,48.5,10:56,Medium,Clear,High,Economy,City_Center,Suburb,False,2,46,6,True,2.02,2.29,0.975,103.31
RIDE_000140,9.78,53.3,21:42,High,Snow,High,Premium,Suburb,Airport,False,1,47,7,False,0.0,1.98,1.145,109.55
RIDE_000141,9.35,40.1,00:14,Medium,Clear,Normal,Premium,Suburb,Transport_Hub,False,1,7,2,True,0.0,1.57,1.103,71.13
RIDE_000142,14.18,78.3,18:58,High,Snow,High,Economy,Suburb,Transport_Hub,False,1,1,5,False,3.27,2.2,0.911,134.66
RIDE_000143,8.84,47.1,21:28,High,Clear,Normal,Economy,Airport,Suburb,False,2,1,1,False,7.2,1.41,1.072,79.37
RIDE_000144,7.85,25.2,13:51,Low,Clear,Normal,Economy,Transport_Hub,Transport_Hub,False,2,5,2,False,0.0,1.16,0.85,27.48
RIDE_000145,17.36,101.4,17:31,High,Clear,High,Premium,City_Center,City_Center,False,2,5,8,False,2.78,2.37,1.079,221.25
RIDE_000146,2.25,10.3,18:36,High,Clear,High,Premium,Transport_Hub,Airport,False,1,2,5,False,1.55,2.45,1.131,47.31
RIDE_000147,3.32,15.2,20:19,High,Rain,Normal,Economy,Transport_Hub,Transport_Hub,False,2,1,6,False,0.0,1.53,1.19,29.28
RIDE_000148,8.63,35.8,23:21,Medium,Clear,Low,Economy,Airport,Suburb,False,2,55,4,False,6.28,1.0,1.206,55.02
RIDE_000149,3.41,10.8,02:12,Low,Clear,Normal,Economy,Suburb,City_Center,False,4,27,6,False,0.0,1.17,1.212,19.87
RIDE_000150,9.91,42.6,05:00,Medium,Clear,Low,Economy,Transport_Hub,Suburb,False,1,7,1,False,1.8,1.0,0.987,40.93
RIDE_000151,3.8,15.6,06:51,Medium,Clear,Normal,Premium,City_Center,Transport_Hub,False,1,34,6,False,0.0,1.15,0.876,20.65
RIDE_000152,4.26,15.2,14:59,Low,Clear,Normal,SUV,Suburb,Transport_Hub,False,2,12,6,False,1.68,1.45,1.189,39.08
RIDE_000153,4.13,21.9,18:10,High,Fog,Normal,SUV,City_Center,Suburb,False,1,37,9,False,0.0,1.07,0.853,22.04
RIDE_000154,4.04,19.6,17:37,High,Clear,High,Economy,Suburb,Airport,False,4,21,6,False,0.0,2.36,1.043,47.65
RIDE_000155,16.48,67.1,11:32,Medium,Clear,Normal,Economy,Suburb,Airport,False,4,78,3,False,5.42,1.22,1.087,89.1
RIDE_000156,6.98,41.3,03:43,High,Rain,Normal,Accessible,City_Center,City_Center,False,1,28,9,False,0.0,1.85,1.192,77.45
RIDE_000157,4.45,23.7,04:09,High,Rain,Low,SUV,Airport,City_Center,False,3,19,8,False,3.47,1.28,0.85,36.99
RIDE_000158,27.84,76.6,02:19,Low,Clear,Normal,Economy,City_Center,Airport,False,1,12,8,False,7.08,1.44,1.24,161.85
RIDE_000159,2.84,8.1,10:40,Low,Clear,Low,SUV,City_Center,Airport,False,2,12,10,False,0.0,1.0,1.022,15.65
RIDE_000160,12.45,59.8,19:14,High,Clear,High,Economy,City_Center,Transport_Hub,False,1,1,9,False,7.28,1.6,1.181,112.16
RIDE_000161,4.77,27.4,03:33,High,Rain,Low,Economy,City_Center,Airport,False,1,0,10,False,0.0,1.17,1.139,32.46
RIDE_000162,4.65,21.3,19:02,High,Snow,Normal,Economy,City_Center,Suburb,False,2,28,7,False,0.0,1.28,0.985,26.63
RIDE_000163,2.98,9.2,21:20,Low,Clear,High,Premium,Airport,City_Center,False,2,45,7,False,4.17,2.13,0.902,48.49
RIDE_000164,4.96,22.2,16:00,Medium,Rain,Low,Economy,City_Center,Suburb,False,2,38,7,False,0.0,1.11,0.907,22.19
RIDE_000165,8.72,51.6,16:48,High,Rain,High,Economy,City_Center,Suburb,False,1,35,6,True,3.52,3.0,1.074,147.89
RIDE_000166,3.46,13.8,05:56,Medium,Clear,Low,Economy,City_Center,Transport_Hub,False,3,12,9,False,0.0,1.0,0.974,15.18
RIDE_000167,8.93,36.7,04:07,Medium,Clear,Low,SUV,Transport_Hub,City_Center,False,1,3,9,False,0.0,1.0,1.224,47.42
RIDE_000168,5.15,19.9,13:04,Medium,Clear,Normal,Economy,Suburb,Airport,True,1,7,1,False,0.0,1.39,1.164,34.26
RIDE_000169,7.84,46.8,07:25,High,Clear,Normal,Economy,City_Center,Transport_Hub,False,2,18,6,False,0.0,1.1,1.043,44.35
RIDE_000170,5.8,24.0,23:09,Medium,Rain,Normal,Economy,Transport_Hub,Transport_Hub,False,1,13,4,True,0.0,2.39,1.133,65.53
RIDE_000171,2.67,8.3,01:28,Low,Clear,Low,Premium,City_Center,Suburb,False,1,13,7,False,0.0,1.0,1.083,16.41
RIDE_000172,9.97,34.5,03:18,Low,Fog,High,Economy,Suburb,Transport_Hub,False,2,20,2,True,0.0,3.0,1.055,113.01
RIDE_000173,7.24,39.7,17:19,High,Clear,High,SUV,Airport,Transport_Hub,True,1,3,5,True,7.47,2.43,1.089,132.79
RIDE_000174,2.74,15.7,15:54,High,Rain,Normal,SUV,City_Center,City_Center,False,2,4,8,False,0.0,1.39,0.983,25.91
RIDE_000175,5.07,18.9,05:57,Medium,Clear,Low,Premium,City_Center,Suburb,False,1,0,9,False,0.0,1.0,1.221,29.37
RIDE_000176,12.14,46.5,22:02,Medium,Clear,Low,Economy,City_Center,Airport,False,4,20,8,False,6.11,1.0,0.966,49.33
RIDE_000177,3.52,12.1,22:24,Low,Clear,Low,Premium,City_Center,Transport_Hub,False,3,15,6,False,0.0,1.0,1.211,22.2
RIDE_000178,4.07,17.6,12:34,Medium,Clear,Normal,SUV,City_Center,Transport_Hub,False,1,14,10,False,2.23,1.11,0.897,24.03
RIDE_000179,10.2,29.1,21:53,Low,Clear,Low,SUV,City_Center,City_Center,False,2,1,7,False,3.47,1.0,1.006,40.56
RIDE_000180,9.93,39.5,14:27,Medium,Clear,Normal,Premium,Suburb,Suburb,False,2,2,2,False,0.0,1.27,0.896,47.39
RIDE_000181,3.85,13.0,23:25,Low,Clear,Normal,Premium,Suburb,Suburb,False,1,23,1,False,0.0,1.34,0.951,24.56
RIDE_000182,7.21,37.5,08:55,High,Rain,High,SUV,City_Center,Transport_Hub,False,3,9,8,False,0.0,1.86,1.171,79.64
RIDE_000183,6.19,27.7,21:05,Medium,Clear,Normal,Economy,Suburb,Airport,False,2,67,4,False,0.0,1.04,1.142,31.63
RIDE_000184,6.53,27.4,22:03,Medium,Clear,Low,Premium,Airport,Suburb,False,3,7,7,False,6.64,1.0,0.877,36.95
RIDE_000185,7.97,36.0,12:38,High,Rain,Normal,Economy,Suburb,Suburb,False,1,33,5,False,0.0,1.7,1.082,61.54
RIDE_000186,12.64,70.5,09:11,High,Clear,High,Economy,City_Center,Suburb,False,2,29,9,False,6.47,2.08,0.903,120.55
RIDE_000187,2.02,11.0,05:56,High,Clear,Low,Economy,City_Center,Transport_Hub,False,1,15,7,False,3.44,1.0,1.243,19.23
RIDE_000188,8.82,25.9,00:27,Low,Clear,Low,Economy,Suburb,Suburb,False,1,16,6,False,1.6,1.0,1.21,37.85
RIDE_000189,8.95,36.9,05:17,Medium,Rain,Low,Economy,Airport,Transport_Hub,False,4,24,5,False,7.99,1.11,1.014,54.44
RIDE_000190,11.37,38.5,15:52,Low,Clear,Normal,Premium,Suburb,Transport_Hub,False,2,0,3,False,7.19,1.29,1.246,81.16
RIDE_000191,4.61,22.3,10:01,High,Rain,High,Premium,Transport_Hub,City_Center,False,2,15,10,False,3.94,2.53,1.052,77.2
RIDE_000192,10.02,32.9,10:20,Low,Clear,High,Accessible,Airport,City_Center,False,2,13,9,True,5.48,2.98,1.124,153.94
