Trip_Distance_km,Est_Duration_min,Traffic_Level,Demand_Level,Is_Holiday,Passenger_Count,Booking_Lead_Time_min,Route_Complexity_Score,Nearby_Major_Event,Toll_Fees,Surge_Multiplier,Fuel_Price_Index,Final_Ride_Price,Hour,Weather_Condition_Fog,Weather_Condition_Rain,Weather_Condition_Snow,Vehicle_Type_Economy,Vehicle_Type_Premium,Vehicle_Type_SUV,Pickup_Location_Type_City_Center,Pickup_Location_Type_Suburb,Pickup_Location_Type_Transport_Hub,Dropoff_Location_Type_City_Center,Dropoff_Location_Type_Suburb,Dropoff_Location_Type_Transport_Hub
6.12,23.5,1,1,0,2,3,6,0,0.0,1.27,0.914,28.94,15,False,False,False,False,False,False,True,False,False,False,False,True
5.83,25.8,1,1,0,1,2,9,0,2.68,1.26,0.958,34.19,6,False,True,False,False,False,False,True,False,False,False,True,False
3.32,14.0,1,1,0,2,29,6,1,2.44,1.44,0.857,22.11,10,False,False,False,True,False,False,False,False,True,True,False,False
2.82,13.0,2,2,1,1,7,7,0,0.0,1.93,0.892,24.5,7,False,False,True,True,False,False,False,True,False,True,False,False
6.05,27.7,2,0,0,2,22,7,0,1.24,1.0,1.089,30.13,2,False,False,False,True,False,False,False,True,False,False,False,True
6.01,27.6,2,1,0,1,9,10,0,0.0,1.08,0.858,24.38,9,False,False,False,True,False,False,True,False,False,False,False,False
12.88,35.7,0,2,1,1,9,10,0,6.46,1.85,0.998,87.02,4,False,False,False,True,False,False,True,False,False,True,False,False
7.1,41.5,2,1,0,1,7,7,0,0.0,1.2,1.091,45.69,20,False,False,False,True,False,False,True,False,False,False,True,False
10.54,38.6,1,2,0,2,6,2,1,5.91,2.77,0.854,117.14,13,False,False,False,True,False,False,False,False,False,False,False,False
14.13,73.0,2,0,0,1,4,8,0,3.52,1.0,1.002,64.84,22,False,False,False,True,False,False,True,False,False,False,False,True
13.1,55.5,1,0,0,1,4,7,0,3.39,1.0,1.106,60.04,14,False,False,False,True,False,False,False,True,False,True,False,False
4.54,18.0,1,0,0,2,30,8,0,3.0,1.0,0.903,20.15,0,False,False,False,True,False,False,False,True,False,True,False,False
4.77,22.6,2,2,0,3,2,2,0,0.0,2.44,1.198,64.18,17,False,True,False,True,False,False,False,True,False,False,False,False
5.0,21.0,1,1,0,1,13,6,0,0.0,1.6,1.201,41.31,13,False,True,False,True,False,False,False,True,False,True,False,False
6.56,37.0,2,1,0,1,15,10,0,0.0,1.44,1.089,55.42,13,False,True,False,False,True,False,True,False,False,False,True,False
1.94,8.3,1,2,0,2,0,7,1,1.45,2.81,1.156,39.01,10,False,False,False,True,False,False,True,False,False,False,False,True
14.44,65.4,2,2,1,4,15,3,1,7.61,2.16,0.953,133.71375,17,True,False,False,True,False,False,False,False,False,False,True,False
3.71,15.7,1,0,0,1,29,10,0,0.0,1.0,0.953,16.12,2,False,False,False,True,False,False,True,False,False,False,False,False
3.48,15.9,2,0,0,2,13,2,0,0.0,1.28,1.158,29.9,3,False,True,False,False,True,False,False,False,True,False,True,False
2.6,14.9,2,0,0,1,20,2,0,5.21,1.16,0.942,31.21,23,False,False,True,False,True,False,False,False,False,False,True,False
7.65,27.9,1,2,0,1,8,6,0,3.97,2.1,0.985,68.04,10,False,False,False,True,False,False,True,False,False,False,True,False
6.9,20.9,0,1,0,1,24,3,0,1.81,1.27,0.98,32.5,4,False,False,False,True,False,False,False,True,False,False,False,False
7.2,29.5,1,0,0,1,48,10,0,1.6,1.0,1.019,34.8,5,True,False,False,False,True,False,True,False,False,False,False,True
1.76,9.9,2,2,0,2,1,6,0,2.52,1.54,0.971,25.59,18,False,False,False,False,True,False,True,False,False,True,False,False
4.86,25.9,2,0,0,3,2,8,0,2.7,1.0,1.222,32.31,1,False,False,False,True,False,False,True,False,False,False,True,False
6.61,37.6,2,2,1,1,3,6,0,5.85,2.08,1.219,109.19,23,False,False,True,True,False,False,False,False,False,False,False,False
6.02,24.4,1,2,0,2,10,7,0,5.3,2.25,1.052,82.92,13,False,True,False,True,False,False,False,False,False,False,False,False
3.82,14.0,1,0,0,3,14,6,0,0.0,1.16,0.89,20.37,10,False,True,False,False,True,False,True,False,False,True,False,False
5.88,17.1,0,0,0,1,2,9,0,0.0,1.0,1.016,21.2,0,False,False,False,True,False,False,True,False,False,False,False,True
8.3,28.3,0,1,0,1,0,2,0,0.0,1.24,0.894,37.25,22,False,False,False,False,True,False,False,True,False,False,False,True
9.22,25.9,0,0,0,1,7,7,0,0.0,1.0,1.113,37.6,20,False,False,False,False,False,True,True,False,False,True,False,False
5.71,29.9,2,2,0,1,10,8,1,0.0,2.44,0.879,57.94,7,False,True,False,True,False,False,True,False,False,False,False,False
5.19,20.3,1,1,0,3,6,7,1,2.98,1.48,1.056,38.16,23,True,False,False,True,False,False,True,False,False,False,True,False
6.92,31.2,2,2,0,2,0,7,0,0.0,2.56,1.149,86.71,8,False,True,False,True,False,False,True,False,False,False,False,False
7.18,23.3,0,0,0,2,42,9,0,0.0,1.0,1.247,32.32,1,False,False,False,True,False,False,True,False,False,True,False,False
3.27,12.4,1,0,0,2,2,8,0,0.0,1.0,0.903,13.64,11,False,False,False,False,False,False,False,True,False,True,False,False
10.97,51.8,2,2,0,2,5,8,0,2.56,2.38,1.024,117.99,17,False,False,False,True,False,False,True,False,False,False,False,False
7.04,26.6,1,1,0,2,14,3,0,0.0,1.26,0.864,33.6,11,False,False,True,False,False,True,False,True,False,False,False,False
3.29,12.8,1,0,0,1,7,9,0,0.0,1.0,1.115,16.54,13,True,False,False,True,False,False,True,False,False,False,False,True
5.09,18.8,1,1,0,2,24,7,1,0.0,1.34,1.164,32.03,6,False,False,False,True,False,False,False,True,False,False,False,True
3.33,10.0,0,2,1,3,21,1,0,5.86,2.14,1.164,60.67,3,False,False,False,True,False,False,False,False,False,False,False,True
5.63,21.2,1,1,0,2,13,6,0,0.0,1.21,1.199,32.71,10,False,False,False,True,False,False,True,False,False,False,False,False
3.77,19.7,2,1,0,4,22,4,0,2.95,1.33,1.113,39.9,4,False,True,False,True,False,False,False,False,False,False,True,False
6.01,23.1,1,2,0,1,28,8,1,0.0,2.79,0.945,72.68,2,False,False,True,False,True,False,True,False,False,False,False,False
5.7,22.5,1,1,0,5,4,8,0,0.0,1.49,1.093,43.65,10,False,False,False,False,False,True,False,True,False,True,False,False
4.1,16.8,1,0,0,1,18,6,0,0.0,1.0,0.916,16.99,3,False,False,False,False,False,False,True,False,False,False,False,True
5.37,27.5,2,2,0,1,6,8,1,3.36,3.0,1.152,111.16,15,False,True,False,False,True,False,True,False,False,False,False,True
3.74,21.2,2,2,0,1,7,8,1,5.94,2.69,1.236,101.91,8,True,False,False,True,False,False,False,False,False,True,False,False
7.98,45.4,2,1,0,1,34,2,0,3.09,1.31,0.995,58.34,9,False,False,False,False,True,False,False,True,False,False,True,False
19.7,112.9,2,2,1,3,24,6,0,7.9,2.42,1.203,133.71375,7,False,True,False,True,False,False,False,True,False,True,False,False
6.95,25.2,1,0,0,1,29,9,0,1.33,1.19,1.179,43.99,22,False,True,False,False,False,True,True,False,False,True,False,False
1.97,6.6,0,1,0,4,20,2,0,5.91,1.18,1.187,33.85,2,False,False,False,False,False,True,False,False,False,False,False,False
4.58,15.2,0,1,0,1,15,1,0,0.0,1.43,0.936,24.05,14,False,False,False,True,False,False,False,True,False,False,False,True
4.62,22.4,2,1,0,4,16,7,0,4.34,1.31,0.902,40.73,20,False,True,False,False,False,True,False,False,False,False,True,False
5.73,19.3,0,1,0,5,26,8,0,0.0,1.28,1.101,35.58,13,False,False,False,False,False,True,True,False,False,False,False,True
17.22,50.6,0,0,0,2,5,3,0,5.59,1.0,1.201,72.32,23,False,False,False,True,False,False,False,True,False,False,False,True
8.27,30.4,1,1,0,1,23,10,0,1.19,1.55,1.06,53.06,13,False,False,True,True,False,False,False,True,False,True,False,False
3.45,20.4,2,2,0,2,1,6,0,3.91,2.1,1.147,54.88,19,False,False,False,True,False,False,False,True,False,False,True,False
5.98,18.1,0,1,0,2,8,5,0,3.18,1.14,0.933,31.59,22,False,False,False,True,False,False,False,False,False,False,False,True
5.69,28.0,2,1,0,1,40,6,0,0.0,1.41,1.2,44.05,7,False,True,False,True,False,False,True,False,False,False,False,True
6.36,18.7,0,2,0,2,4,10,0,0.0,2.22,1.195,59.4,10,True,False,False,True,False,False,True,False,False,False,False,True
5.19,16.0,0,0,0,2,7,10,0,4.17,1.0,0.854,27.29,0,False,False,False,False,True,False,False,False,False,True,False,False
8.44,47.1,2,0,0,6,25,6,0,0.0,1.0,1.01,40.11,21,False,False,False,True,False,False,False,False,True,True,False,False
5.78,29.5,2,0,0,1,24,8,0,0.0,1.0,0.978,26.33,5,False,False,False,True,False,False,True,False,False,True,False,False
2.8,11.4,1,1,0,1,2,5,0,0.0,1.04,1.014,14.13,21,False,False,False,True,False,False,False,True,False,False,False,False
10.84,56.2,2,0,0,5,11,5,0,2.23,1.0,1.005,58.88,1,False,False,False,False,True,False,False,False,False,False,False,False
3.33,17.3,2,1,0,1,9,6,0,0.0,1.47,0.862,21.73,17,False,True,False,True,False,False,False,False,True,False,False,False
6.27,24.6,1,2,1,1,4,9,0,0.0,1.64,1.028,48.39,12,False,False,False,False,False,True,False,True,False,True,False,False
7.74,34.0,1,0,0,2,2,10,0,0.0,1.0,1.087,38.71,10,False,False,False,False,True,False,False,True,False,True,False,False
2.5,11.5,2,1,0,1,9,9,0,0.0,1.5,1.075,26.61,21,False,True,False,False,True,False,True,False,False,True,False,False
11.0,48.5,1,2,0,2,46,6,1,2.02,2.29,0.975,103.31,10,False,False,False,True,False,False,True,False,False,False,True,False
9.78,53.3,2,2,0,1,47,7,0,0.0,1.98,1.145,109.55,21,False,False,True,False,True,False,False,True,False,False,False,False
9.35,40.1,1,1,0,1,7,2,1,0.0,1.57,1.103,71.13,0,False,False,False,False,True,False,False,True,False,False,False,True
14.18,78.3,2,2,0,1,1,5,0,3.27,2.2,0.911,133.71375,18,False,False,True,True,False,False,False,True,False,False,False,True
8.84,47.1,2,1,0,2,1,1,0,7.2,1.41,1.072,79.37,21,False,False,False,True,False,False,False,False,False,False,True,False
7.85,25.2,0,1,0,2,5,2,0,0.0,1.16,0.85,27.48,13,False,False,False,True,False,False,False,False,True,False,False,True
17.36,101.4,2,2,0,2,5,8,0,2.78,2.37,1.079,133.71375,17,False,False,False,False,True,False,True,False,False,True,False,False
2.25,10.3,2,2,0,1,2,5,0,1.55,2.45,1.131,47.31,18,False,False,False,False,True,False,False,False,True,False,False,False
3.32,15.2,2,1,0,2,1,6,0,0.0,1.53,1.19,29.28,20,False,True,False,True,False,False,False,False,True,False,False,True
8.63,35.8,1,0,0,2,55,4,0,6.28,1.0,1.206,55.02,23,False,False,False,True,False,False,False,False,False,False,True,False
3.41,10.8,0,1,0,4,27,6,0,0.0,1.17,1.212,19.87,2,False,False,False,True,False,False,False,True,False,True,False,False
9.91,42.6,1,0,0,1,7,1,0,1.8,1.0,0.987,40.93,5,False,False,False,True,False,False,False,False,True,False,True,False
3.8,15.6,1,1,0,1,34,6,0,0.0,1.15,0.876,20.65,6,False,False,False,False,True,False,True,False,False,False,False,True
4.26,15.2,0,1,0,2,12,6,0,1.68,1.45,1.189,39.08,14,False,False,False,False,False,True,False,True,False,False,False,True
4.13,21.9,2,1,0,1,37,9,0,0.0,1.07,0.853,22.04,18,True,False,False,False,False,True,True,False,False,False,True,False
4.04,19.6,2,2,0,4,21,6,0,0.0,2.36,1.043,47.65,17,False,False,False,True,False,False,False,True,False,False,False,False
16.48,67.1,1,1,0,4,78,3,0,5.42,1.22,1.087,89.1,11,False,False,False,True,False,False,False,True,False,False,False,False
6.98,41.3,2,1,0,1,28,9,0,0.0,1.85,1.192,77.45,3,False,True,False,False,False,False,True,False,False,True,False,False
4.45,23.7,2,0,0,3,19,8,0,3.47,1.28,0.85,36.99,4,False,True,False,False,False,True,False,False,False,True,False,False
27.84,76.6,0,1,0,1,12,8,0,7.08,1.44,1.24,133.71375,2,False,False,False,True,False,False,True,False,False,False,False,False
2.84,8.1,0,0,0,2,12,10,0,0.0,1.0,1.022,15.65,10,False,False,False,False,False,True,True,False,False,False,False,False
12.45,59.8,2,2,0,1,1,9,0,7.28,1.6,1.181,112.16,19,False,False,False,True,False,False,True,False,False,False,False,True
4.77,27.4,2,0,0,1,0,10,0,0.0,1.17,1.139,32.46,3,False,True,False,True,False,False,True,False,False,False,False,False
4.65,21.3,2,1,0,2,28,7,0,0.0,1.28,0.985,26.63,19,False,False,True,True,False,False,True,False,False,False,True,False
2.98,9.2,0,2,0,2,45,7,0,4.17,2.13,0.902,48.49,21,False,False,False,False,True,False,False,False,False,True,False,False
4.96,22.2,1,0,0,2,38,7,0,0.0,1.11,0.907,22.19,16,False,True,False,True,False,False,True,False,False,False,True,False
8.72,51.6,2,2,0,1,35,6,1,3.52,3.0,1.074,133.71375,16,False,True,False,True,False,False,True,False,False,False,True,False
3.46,13.8,1,0,0,3,12,9,0,0.0,1.0,0.974,15.18,5,False,False,False,True,False,False,True,False,False,False,False,True
8.93,36.7,1,0,0,1,3,9,0,0.0,1.0,1.224,47.42,4,False,False,False,False,False,True,False,False,True,True,False,False
5.15,19.9,1,1,1,1,7,1,0,0.0,1.39,1.164,34.26,13,False,False,False,True,False,False,False,True,False,False,False,False
7.84,46.8,2,1,0,2,18,6,0,0.0,1.1,1.043,44.35,7,False,False,False,True,False,False,True,False,False,False,False,True
5.8,24.0,1,1,0,1,13,4,1,0.0,2.39,1.133,65.53,23,False,True,False,True,False,False,False,False,True,False,False,True
2.67,8.3,0,0,0,1,13,7,0,0.0,1.0,1.083,16.41,1,False,False,False,False,True,False,True,False,False,False,True,False
9.97,34.5,0,2,0,2,20,2,1,0.0,3.0,1.055,113.01,3,True,False,False,True,False,False,False,True,False,False,False,True
7.24,39.7,2,2,1,1,3,5,1,7.47,2.43,1.089,132.79,17,False,False,False,False,False,True,False,False,False,False,False,True
2.74,15.7,2,1,0,2,4,8,0,0.0,1.39,0.983,25.91,15,False,True,False,False,False,True,True,False,False,True,False,False
5.07,18.9,1,0,0,1,0,9,0,0.0,1.0,1.221,29.37,5,False,False,False,False,True,False,True,False,False,False,True,False
12.14,46.5,1,0,0,4,20,8,0,6.11,1.0,0.966,49.33,22,False,False,False,True,False,False,True,False,False,False,False,False
3.52,12.1,0,0,0,3,15,6,0,0.0,1.0,1.211,22.2,22,False,False,False,False,True,False,True,False,False,False,False,True
4.07,17.6,1,1,0,1,14,10,0,2.23,1.11,0.897,24.03,12,False,False,False,False,False,True,True,False,False,False,False,True
10.2,29.1,0,0,0,2,1,7,0,3.47,1.0,1.006,40.56,21,False,False,False,False,False,True,True,False,False,True,False,False
9.93,39.5,1,1,0,2,2,2,0,0.0,1.27,0.896,47.39,14,False,False,False,False,True,False,False,True,False,False,True,False
3.85,13.0,0,1,0,1,23,1,0,0.0,1.34,0.951,24.56,23,False,False,False,False,True,False,False,True,False,False,True,False
7.21,37.5,2,2,0,3,9,8,0,0.0,1.86,1.171,79.64,8,False,True,False,False,False,True,True,False,False,False,False,True
6.19,27.7,1,1,0,2,67,4,0,0.0,1.04,1.142,31.63,21,False,False,False,True,False,False,False,True,False,False,False,False
6.53,27.4,1,0,0,3,7,7,0,6.64,1.0,0.877,36.95,22,False,False,False,False,True,False,False,False,False,False,True,False
7.97,36.0,2,1,0,1,33,5,0,0.0,1.7,1.082,61.54,12,False,True,False,True,False,False,False,True,False,False,True,False
12.64,70.5,2,2,0,2,29,9,0,6.47,2.08,0.903,120.55,9,False,False,False,True,False,False,True,False,False,False,True,False
2.02,11.0,2,0,0,1,15,7,0,3.44,1.0,1.243,19.23,5,False,False,False,True,False,False,True,False,False,False,False,True
8.82,25.9,0,0,0,1,16,6,0,1.6,1.0,1.21,37.85,0,False,False,False,True,False,False,False,True,False,False,True,False
8.95,36.9,1,0,0,4,24,5,0,7.99,1.11,1.014,54.44,5,False,True,False,True,False,False,False,False,False,False,False,True
11.37,38.5,0,1,0,2,0,3,0,7.19,1.29,1.246,81.16,15,False,False,False,False,True,False,False,True,False,False,False,True
4.61,22.3,2,2,0,2,15,10,0,3.94,2.53,1.052,77.2,10,False,True,False,False,True,False,False,False,True,True,False,False
10.02,32.9,0,2,0,2,13,9,1,5.48,2.98,1.124,133.71375,10,False,False,False,False,False,False,False,False,False,True,False,False
5.26,31.3,2,0,0,2,26,7,0,2.75,1.22,1.131,41.1,10,False,True,False,True,False,False,True,False,False,True,False,False
7.04,31.0,1,1,0,1,3,5,0,0.0,1.47,1.16,50.41,13,False,False,False,True,False,False,False,True,False,False,False,True
9.13,52.8,2,0,0,1,2,3,0,3.61,1.0,0.917,51.08,6,True,False,False,False,False,True,False,False,False,False,True,False
2.48,8.5,0,1,1,1,24,7,0,0.0,1.05,1.182,14.24,13,False,False,False,True,False,False,True,False,False,False,False,False
4.96,21.3,1,1,0,2,1,7,0,1.17,1.1,0.989,24.76,13,False,False,False,True,False,False,True,False,False,False,False,True
7.08,33.2,2,2,0,1,10,1,0,0.0,1.62,1.17,64.86,9,False,False,False,False,True,False,False,True,False,False,False,True
6.4,28.2,1,1,0,2,10,9,0,0.0,1.07,1.078,35.41,6,False,False,False,False,False,True,False,True,False,True,False,False
4.63,20.5,1,1,0,1,41,3,0,0.0,1.34,0.938,26.64,12,False,True,False,False,False,False,False,True,False,False,False,False
4.04,22.7,2,2,0,3,2,1,0,1.6,2.42,0.866,54.51,19,False,False,False,False,True,False,False,True,False,False,False,False
3.82,16.2,1,0,0,6,22,5,0,0.0,1.0,0.932,19.41,12,False,False,False,False,True,False,False,True,False,False,True,False
4.44,26.0,2,2,0,1,28,6,0,0.0,1.72,0.984,39.2,7,False,False,False,True,False,False,True,False,False,False,True,False
13.06,72.4,2,2,0,1,22,7,0,5.39,2.1,0.858,122.85,7,False,False,True,False,True,False,True,False,False,False,True,False
5.73,22.4,1,2,1,2,13,6,0,0.0,2.52,0.99,58.12,21,False,True,False,True,False,False,False,False,True,False,True,False
5.55,23.9,1,1,0,1,6,1,0,3.11,1.46,0.875,40.73,16,False,False,False,True,False,False,False,False,False,False,False,True
8.75,31.2,0,1,1,1,35,9,0,0.0,1.06,1.227,41.91,15,False,False,False,True,False,False,True,False,False,True,False,False
5.72,28.8,2,2,0,1,3,8,0,0.0,2.0,0.897,53.78,11,False,True,False,False,True,False,True,False,False,False,False,True
